"Akpatok Island, Canada"
"Aleutian Clouds, Bering Sea"
"Algerian Desert, Algeria"
"Alluvial Fan, China"
"Anti-Atlas Mountains, Morocco"
"Anyuyskiy Volcano, Russia"
"Belcher Islands, Canada"
"Bogda Mountains, China"
"Bombetoka Bay, Madagascar"
"Brandberg Massif, Namibia"
"Byrd Glacier, Antarctica"
"Cape Farewell, New Zealand"
"Carbonate Sand Dunes, Atlantic Ocean"
"Carnegie Lake, Australia"
"Dardzha Peninsula, Turkmenistan"
"Dasht-e Kavir, Iran"
"Desolation Canyon, United States"
"East African Rift, Kenya"
"Edrengiyn Nuruu, Mongolia"
"Erg Chech, Algeria"
"Erg Iguidi, Algeria and Mauritania"
"Erongo Massif, Namibia46   Garden City, United States"
"Grand Bahama Bank, Atlantic Ocean"
"Gravity Waves, Above the Indian Ocean"
"Great Salt Desert, Iran"
"Himalayas, Central Asia"
"Ice Waves, Greenland"
"Isla Espíritu Santo and Isla Partida, Mexico"
"Jebel Uweinat, Egypt"
"Kalahari Desert, Southern Africa"
"Kamchatka Peninsula, Russia"
"Kilimanjaro, Kenya and Tanzania"
"Kuril Islands, Sea of Okhotsk"
"La Rioja, Argentina"
"Lake Disappointment, Australia"
"Lake Eyre, Australia"
"Lena River Delta, Russia"
"MacDonnell Ranges, Australia"
"Mayn River, Russia"
"Meandering Mississippi, United States"
"Mississippi River Delta, United States"
"Mount Elgon, Kenya and Uganda"
"Musandam Peninsula, Oman"
"Namib Desert, Namibia"
"Nazca Lines, Peru"
"Niger River, Mali"
"Okavango Delta, Botswana"
"Painted Desert, United States"
"Paraná River Delta, Argentina"
"Phytoplankton Bloom, Baltic Sea"
"Pinacate Volcano Field, Mexico"
"Ribbon Lakes, Russia"
"Richat Structure, Mauritania"
"Rocky Mountain Trench, Canada"
"Rub’ al Khali, Arabian Peninsula"
"Sand Hills, United States"
"Shoemaker Crater, Australia"
"Sierra Madre Oriental, Mexico"
"South Georgia Island, South Atlantic Ocean"
"Southern Sahara Desert, Africa"
"Susitna Glacier, United States"
"Syrian Desert, West Asia"
"Tassili n’Ajjer, Algeria"
"Terkezi Oasis, Chad"
"Three Massifs, Sahara Desert"
"Tibetan Plateau, Central Asia"
"Tikehau Atoll, French Polynesia"
"Triple Junction, East Africa"
"Ugab River, Namibia"
"Vatnajökull Glacier Ice Cap, Iceland"
"Volcanoes, Chile and Argentina"
"Von Kármán Vortices, Southern Pacific Ocean"
"Wadi Branches, Jordan"
"Zagros Mountains, Iran"